t,v1,v2,v3,v4
5.250000000000000222e-01,3.669832223635391411e-01,5.980907425107439002e-01,1.121758167376651905e+00,3.380896723101291940e-02
5.300000000000000266e-01,3.593506583284301614e-01,6.005091504310975381e-01,1.116555653153926242e+00,3.783842349908496383e-02
5.350000000000000311e-01,3.529116549908238309e-01,6.051241370411475362e-01,1.117932076330367952e+00,3.884796031020581325e-02
5.400000000000000355e-01,3.542341129591302651e-01,6.114347514812717987e-01,1.116127332464715183e+00,3.894815393971840650e-02
5.450000000000000400e-01,3.452365070911529998e-01,6.128964353943703314e-01,1.115235687082727578e+00,4.226616284671745605e-02
5.500000000000000444e-01,3.387546769181976059e-01,6.195695880237478415e-01,1.112844258601862757e+00,4.603956235159060995e-02
5.550000000000000488e-01,3.350307333236718921e-01,6.216972729524928853e-01,1.113541068735184325e+00,4.373977266746171405e-02
5.600000000000000533e-01,3.289047008123851534e-01,6.269241823774428513e-01,1.109290316537130394e+00,4.962169994999333228e-02
5.649999999999999467e-01,3.254696774581361529e-01,6.340068906306095542e-01,1.108599653107436245e+00,5.319396178679632742e-02
5.699999999999999512e-01,3.182418457457361072e-01,6.337028431616839041e-01,1.105442981904476207e+00,5.147105619817499145e-02
5.749999999999999556e-01,3.125394720795100501e-01,6.399328785258306951e-01,1.102770863295416293e+00,5.347895736146639906e-02
5.799999999999999600e-01,3.053493506924288559e-01,6.461952686181323680e-01,1.098033066961331405e+00,5.705760384445447697e-02
5.849999999999999645e-01,3.019124173842239189e-01,6.485464849689932532e-01,1.100253713620539697e+00,6.078983907808808984e-02
5.899999999999999689e-01,2.930287518787934031e-01,6.554793198321656744e-01,1.096845508970475835e+00,6.172690539590282993e-02
5.949999999999999734e-01,2.904806238476353997e-01,6.625389669095187450e-01,1.094984566321818287e+00,6.921809411376790566e-02
5.999999999999999778e-01,2.861794831370942926e-01,6.649936502040754149e-01,1.091865383479521778e+00,7.027263098584982104e-02
6.049999999999999822e-01,2.739971768580555245e-01,6.668055884620590623e-01,1.087659362819764608e+00,7.337934876456213285e-02
6.099999999999999867e-01,2.659635080769855997e-01,6.701042534710145437e-01,1.083995239917862285e+00,7.905637245641694566e-02
6.149999999999999911e-01,2.659164391776785430e-01,6.768939219985917743e-01,1.082837922959716925e+00,8.287494205197937225e-02
6.199999999999999956e-01,2.635058269180335366e-01,6.802296687103812634e-01,1.076515895506579001e+00,8.597560050043684399e-02
6.250000000000000000e-01,2.500800112617314053e-01,6.846607836542087933e-01,1.074531810778015961e+00,9.028740665232320994e-02
6.300000000000000044e-01,2.432011233486100210e-01,6.924903153470919337e-01,1.072664415564383633e+00,9.661273780331469663e-02
6.350000000000000089e-01,2.404547612898701725e-01,6.972523561571088990e-01,1.068342796122211613e+00,1.012842209143503258e-01
6.400000000000000133e-01,2.311286452132828573e-01,6.976370700537048997e-01,1.064798096672715078e+00,1.047127275433640536e-01
6.450000000000000178e-01,2.252960144896540562e-01,7.047874515620489166e-01,1.058049271206119579e+00,1.107905322143328403e-01
6.500000000000000222e-01,2.190807092325251781e-01,7.087219174013088541e-01,1.055234179427555263e+00,1.144082182956858151e-01
6.550000000000000266e-01,2.142873294487402103e-01,7.169785871090971208e-01,1.049579162828363499e+00,1.185922201971811307e-01
6.600000000000000311e-01,2.058435907302863521e-01,7.213698899695055733e-01,1.049078008386924443e+00,1.218193755225506075e-01
6.650000000000000355e-01,2.006326650328378869e-01,7.274036522148835671e-01,1.042062742764311878e+00,1.292418310387000446e-01
6.700000000000000400e-01,1.931460426124765317e-01,7.303976335974474710e-01,1.036884942138931676e+00,1.302670810272121282e-01
6.750000000000000444e-01,1.852394492320032504e-01,7.363589384982216490e-01,1.033068741887853248e+00,1.390848618525651059e-01
6.800000000000000488e-01,1.797345194973591076e-01,7.415546617519158668e-01,1.028736189412148727e+00,1.447046229299704112e-01
6.850000000000000533e-01,1.719428986181113783e-01,7.448900226827382953e-01,1.018314083938787862e+00,1.489620162385099644e-01
6.899999999999999467e-01,1.673590278168278767e-01,7.514837765457478280e-01,1.015405319403982487e+00,1.569719751962398990e-01
6.949999999999999512e-01,1.586421075126773772e-01,7.509043203732652660e-01,1.006783101331246266e+00,1.629523707414930467e-01
6.999999999999999556e-01,1.522982999079928734e-01,7.610993280596637378e-01,1.000737776871157836e+00,1.668507780142569619e-01
7.049999999999999600e-01,1.510515827705610215e-01,7.610355992009707471e-01,9.950940662256222424e-01,1.739237651833704101e-01
7.099999999999999645e-01,1.417531027836905211e-01,7.674628700779984047e-01,9.879236284698657000e-01,1.783084657014969154e-01
7.149999999999999689e-01,1.355505977405160878e-01,7.730754962894706983e-01,9.840881238471440584e-01,1.883211517525599232e-01
7.199999999999999734e-01,1.305663096024990144e-01,7.771889912462577321e-01,9.760196228931178331e-01,1.969547694895926182e-01
7.249999999999999778e-01,1.226809086425685313e-01,7.784448217311065177e-01,9.661886240185610930e-01,2.006469731380960686e-01
7.299999999999999822e-01,1.171479473599993659e-01,7.853660158741665454e-01,9.599075907121618068e-01,2.097291080192297263e-01
7.349999999999999867e-01,1.126489432665226387e-01,7.849887022193337005e-01,9.526173491582964337e-01,2.152907537087467571e-01
7.399999999999999911e-01,1.066762768004902023e-01,7.927580820370174752e-01,9.483516274564333104e-01,2.211447146590585222e-01
7.449999999999999956e-01,9.823243238263665300e-02,7.960908256932897054e-01,9.409316065248407579e-01,2.329221256742889101e-01
7.500000000000000000e-01,9.679130858477939803e-02,8.036473219625676068e-01,9.351471162264133330e-01,2.392030181701135516e-01
7.550000000000000044e-01,8.865818610061221294e-02,8.036400440389112054e-01,9.193152674184918993e-01,2.435470613190386102e-01
7.600000000000000089e-01,8.258852608661503003e-02,8.061863693967873390e-01,9.140404877767943637e-01,2.554418762596202264e-01
7.650000000000000133e-01,7.791442179527356682e-02,8.095288834639119413e-01,9.103453372318450754e-01,2.615975537355605951e-01
7.700000000000000178e-01,7.410736288878438938e-02,8.123924589458355605e-01,8.984027201634647852e-01,2.665231673850320671e-01
7.750000000000000222e-01,7.347930073807554252e-02,8.170439637454579573e-01,8.906685940880587626e-01,2.813363691879042783e-01
7.800000000000000266e-01,6.337722099451281732e-02,8.203405345567371665e-01,8.817689204933943925e-01,2.830655078060972940e-01
7.850000000000000311e-01,6.172294959951930837e-02,8.258272517610304453e-01,8.726399107421627388e-01,2.947621431028501493e-01
7.900000000000000355e-01,5.297549887550320052e-02,8.226721906069530688e-01,8.687382483729580995e-01,3.022567957095647073e-01
7.950000000000000400e-01,5.327249112020579491e-02,8.287743618559889613e-01,8.539984590811507958e-01,3.102635654958106337e-01
8.000000000000000444e-01,5.127698556794632601e-02,8.271427992248696626e-01,8.519420104917174719e-01,3.134475203985948033e-01
8.050000000000000488e-01,4.538546100588810445e-02,8.314584106572496802e-01,8.392265806383883975e-01,3.253426125225780674e-01
8.100000000000000533e-01,4.116000995397546547e-02,8.362337767043428460e-01,8.350939732160901352e-01,3.351338332788127983e-01
8.149999999999999467e-01,3.962029883158554172e-02,8.382649929363792385e-01,8.214950588241561880e-01,3.372076014246073727e-01
8.199999999999999512e-01,3.747373611715436315e-02,8.392593777373242858e-01,8.143936243703300271e-01,3.491521208161519896e-01
8.249999999999999556e-01,3.449283806464679275e-02,8.380353295803817382e-01,8.038261577295233717e-01,3.555240781175643128e-01
8.299999999999999600e-01,3.437621127981031754e-02,8.424729882423367400e-01,7.982254425304954326e-01,3.610309010720573197e-01
8.349999999999999645e-01,2.828611041115022123e-02,8.448832201708498246e-01,7.915881522668390957e-01,3.668550611393023853e-01
8.399999999999999689e-01,2.428679351619622215e-02,8.403718301783270617e-01,7.832412085057824935e-01,3.752277866397366601e-01
8.449999999999999734e-01,2.298684319273039053e-02,8.430727042986275732e-01,7.756283238551685555e-01,3.850820227120116956e-01
8.499999999999999778e-01,2.101987177712334037e-02,8.452834789741447974e-01,7.668988743517032303e-01,3.883522891937842281e-01
8.549999999999999822e-01,1.946236948320299517e-02,8.464439216733875559e-01,7.617286316582457806e-01,3.960071157457900060e-01
8.599999999999999867e-01,1.741349860547151615e-02,8.473201784891455368e-01,7.548529081657022743e-01,4.004214812801971113e-01
8.649999999999999911e-01,1.619310086230305035e-02,8.469397648508956156e-01,7.517919496306794125e-01,4.035790257996543229e-01
8.699999999999999956e-01,1.101206075253487876e-02,8.465993737149006826e-01,7.386926642228264228e-01,4.087624322063349580e-01
8.750000000000000000e-01,1.465236701956844877e-02,8.494030177337543730e-01,7.358074406740073847e-01,4.223554719846646655e-01
8.800000000000000044e-01,1.060733139857089093e-02,8.473282341475817381e-01,7.308192230451017180e-01,4.276221809715378130e-01
8.850000000000000089e-01,8.292021398597786835e-03,8.487615827651343592e-01,7.251001393231946146e-01,4.307750378225935206e-01
8.900000000000000133e-01,1.090661677780311103e-02,8.502853789189771527e-01,7.169653995795198798e-01,4.337007380603337126e-01
8.950000000000000178e-01,1.136321693330016869e-02,8.504623007568558046e-01,7.114518326632147671e-01,4.372597730537108318e-01
9.000000000000000222e-01,8.910250777786475618e-03,8.514632474327443745e-01,7.071747562835607459e-01,4.456581119540884983e-01
9.050000000000000266e-01,7.533970445521886820e-03,8.516793935970032869e-01,7.034283577496284190e-01,4.468011015617076587e-01
9.100000000000000311e-01,4.720357958667775050e-03,8.513354121437016753e-01,6.970680660208085078e-01,4.522721845698818299e-01
9.150000000000000355e-01,1.178091274831927042e-02,8.530139892465251616e-01,6.942974586300602047e-01,4.550437180046401076e-01
9.200000000000000400e-01,7.325601161904168185e-03,8.474381654100275885e-01,6.923865080545547057e-01,4.521654349838414855e-01
9.250000000000000444e-01,2.883038602489612981e-03,8.505037635193251067e-01,6.894512863745523301e-01,4.559428339995876822e-01
9.300000000000000488e-01,3.263531436526872446e-03,8.505066904364065872e-01,6.850567482979101896e-01,4.630271096356732841e-01
9.350000000000000533e-01,4.718528609895192988e-03,8.496545086151982007e-01,6.806755128877087779e-01,4.637067177033127874e-01
9.399999999999999467e-01,1.214017679383502975e-03,8.500842973170916750e-01,6.819267366236642092e-01,4.620970696415723777e-01
9.449999999999999512e-01,4.494038505954244325e-03,8.508208705078900147e-01,6.786927363322013962e-01,4.679833525992652121e-01
9.499999999999999556e-01,3.124298550270385427e-03,8.494119100020015578e-01,6.765489390131936842e-01,4.681161150971603901e-01
9.549999999999999600e-01,6.431786006996049673e-03,8.540889523979524611e-01,6.784582527562449394e-01,4.667922205565553373e-01
9.599999999999999645e-01,5.891118370371360193e-03,8.540175063556650903e-01,6.764305740307418047e-01,4.690319820841499232e-01
9.649999999999999689e-01,-1.416914607918509823e-03,8.491645314748887952e-01,6.761906396590684487e-01,4.673269852620743348e-01
9.699999999999999734e-01,4.180660903042580923e-03,8.521559888601561994e-01,6.783411322074508476e-01,4.675670565415361302e-01
